周	代名也周至也遍也備也今名書義取周普
施賢	始豉反下文同又如字
而比	毗志反
得頤	一本作得順
難未	乃旦反
厲吉	厲嚴厲也馬王肅云危
䷛大過	徐古臥反罪過也超過也王肅音戈震宫遊魂卦
相過之過	並古臥反
棟	徐丁貢反
橈	乃敎反曲折也下同
拯	拯救之拯
弱	本亦作溺並依字讀下救其弱拯弱皆同
而※	音恱注同
救難難乃	並乃旦反上六注同
遯	本又作遁同徒遜反
藉	在夜反下同馬云在下曰藉
唯愼	辰震反
枯楊	如字鄭音姑謂無姑山榆榆羊朱反
稊	徒稽反楊之秀也鄭作荑荑木更生音夷謂山榆之實
老夫	如字下同
特吝	特或作持
能令	力主反
得少	詩照反下同
則稺	直吏反
者長	丁丈反
淹溺	乃歷反
生華	如字徐音花
无譽	音預又音餘
滅頂	徐都冷反
䷜習	便習也重也劉云水流行不休故曰習
坎	徐苦感反本亦作埳京劉作欿險也陷也八純卦象水
險陷	陷没之陷
謂便	婢面反下同
重險	直龍反注下並同
陗	七妙反
洊	在薦反徐在悶反舊又才本反爾雅云再也劉云仍也京作臻干作荐
德行	下孟反注同
險難	乃旦反下險難同
則夫	音符
窞	徒坎反※文云坎中更有坎王肅又作徒感反云窞坎底也字林云坎中小坎一曰旁入
處欿	亦作坎字
而復	扶又反下雖復同
險且	如字古文及鄭向本作檢鄭云木在手曰檢
枕	徐針鴆反王肅針甚反鄭𤣥云木在首曰枕陸云閑礙險害之貌九家作玷古文作沈沈直林反
出則之坎	一本作出則亦坎誤
樽酒	音尊絶句
簋貳	音※絶句
用缶	方有反絶句舊讀樽酒簋絶句貳用缶一句
自牖	音酉陸作誘
承比	毗志反下同
之食	音嗣飯也
象曰樽酒簋	一本更有貳字
祇	音支又祁支反鄭云當爲坻小丘也京作禔※文同音支又上支反安也
盡平	津忍反
徽	許韋反
纆	音墨劉云三股曰徽兩股曰纆皆索名
寘	之豉反置也注同劉作示言衆議於九※之下也子夏傳作湜姚作寔寔置也張作置
叢	才公反
法峻	荀潤反
䷝離	列池反麗也麗著也八純卦象日象火
畜	許六反注同
牝	頻忍反徐又扶死反
外強	其良反
猶著	直畧反卦内同
草木麗	如字※文作䕻
乎土	王肅本作地
重明	直龍反
明兩作	鄭云作起也荀云用也
明照相繼	一本無明照二字
履錯	鄭徐七各反馬七路反
警	京領反
辟其	音避象同
日※	王嗣宗本作仄音同
鼓	鄭本作擊
大耊	田節反馬云七十曰耊王肅又他結反云八十曰耊京作絰蜀才作咥
之嗟	如字王肅又遭哥反荀作差下嗟若亦爾
凶	古文及鄭無凶字
突	徒忽反王肅唐屑反舊又湯骨反字林同云暫出
逼近	附近之近
出	如字徐尺遂反王嗣宗勑類反
涕	徐他米反又音弟
沱	徒河反荀作池一本作沲
若	古文若皆如此
戚	干寂反子夏傳作嘁嘁子六反咨慙也
不勝	音升
逆首	本又作逆道兩得
離王公也	音麗鄭作麗王肅云麗王者之後爲公梁武力智反王嗣宗同
折首	徐之舌反注同
以去	羗吕反
王用出征以正邦也	王肅本此下更有獲匪其醜大有功也
周易下經咸傳第四䷞咸	如字※云感也兊宫三世卦
取	七具反本亦作娶音同
相與	如字鄭云與猶親也
而※	音恱
男下	遐嫁反下注必下同
見於	賢遍反
各亢	口浪反本或作有
拇	※后反馬鄭薛云足大指也子夏作※荀作母云隂位之尊
腓	房非反鄭云膞腸也膞音市臠反王廙云腓腓腸也荀作肥云謂五也尊盛故稱肥
離拇	力智反
動躁	早報反
股	音古
憧憧	昌容反馬云行貌王肅云往來不絶貌廣雅云往來也劉云意未定也徐又音童又音鍾京作※字林云※遲也丈冢反
脢	武杯反又音每心之上口之下也鄭云背脊肉也※文同王肅又音※廣雅云胂謂之脢胂音以人反
輔	如字馬云上頷也虞作䩉云耳目之間
頰	兼叶反孟作俠
滕	徒登反達也九家作乗虞作媵鄭云送也
口※	如字注同徐音脫又始銳反
䷟恒	如字久也震宫三世卦
長陽長隂	並丁丈反大象注同
媲	普計反配也
復始	扶又反
見於	賢遍反
浚	荀潤反深也鄭作濬
令物	力呈反
餘緼	紆粉反廣雅云積也
或承	或有也一云常也鄭本作咸承
德行	下孟反
詰	去吉反
而分	扶運反
振恒	之刃反馬云動也鄭云摇落也張作震
䷠遯	徒巽反字又作※又作遁同隱退也匿迹避時奉身退隱之謂也鄭云逃去之名序卦云遯者退也乾宫二世卦
夫靜	音扶
非否	備鄙反下同
亢	苦浪反
浸	子鴆反注同
而長	丁丈反卦内同或如字
以逺	𡊮万反注並同
辟内	音避
難可	乃旦反
何災	音河褚河可反今不用
勝	升證反又音升注同
※	王肅如字解※也師同徐吐活反又始銳反
遯巳	音以或音紀
係遯	古詣文本或作繫
近二	附近之近
憊	蒲拜反鄭云困也廣雅云極也王肅作斃荀作備
好遯	呼報反注下同
小人否	音鄙注下同惡也徐方有反鄭王肅備鄙反云塞也
能舎	音捨
肥遯	如字子夏傳云肥饒裕
能累	劣僞反
繒	則能反
繳	章畧反
䷡大壯	莊亮反威盛強猛之名鄭云氣力浸強之名王肅云壯盛也廣雅云健也馬云傷也郭璞云今淮南人呼壯爲傷坤宫四世卦
而愼禮也	愼或作順義亦通
用罔	罔羅也馬王肅云无
羝羊	音低張云羖羊也廣雅云吳羊曰羝
觸	徐處六反
藩	方𡊮反徐甫言反下同馬云籬落也
羸	律悲反又力追反下同馬云大索也徐力皮反王肅作縲音螺鄭虞作纍蜀才作累張作虆
雖復	扶又反
藩決	音穴注下同
大輿	音餘
之輹	音福本又作輻
行不	下孟反
能※	吐活反
喪羊	息浪反注下同
于易	以豉反注下同鄭音亦謂狡易也陸作埸謂壃埸也
險難	如字亦乃旦反
則難	乃旦反
剛長	丁丈反下剛長同
