周	代名也周至也遍也備也今名書義取周普
其分	扶問反
脃	七歳反
腊肉	音昔馬云晞於陽而煬於火曰腊肉鄭注周禮小物全乾曰腊
乾	音干
胏	緇美反馬云有骨謂之胏鄭云簀也字林云含食所遺也一曰脯也子夏作脯徐音甫荀董同
未光大也	本亦無大字
何校	何可反又音何本亦作荷音同下同王肅云荷擔
聦不眀也	馬云耳無所聞鄭云目不眀耳不聦王肅云言其聦之不眀
可解	佳買反
䷕賁	彼偽反徐甫寄反李軌府瓫反傅氏云賁古斑字文章貌鄭云變也文飾之貌王肅符文反云有文飾黄白色艮宫一世卦
剛上	時掌反注剛上皆同
觀天	音官下同
以明	蜀才本作命
折	之舌反注同鄭云斷也斷音丁亂反
其趾	一本作止鄭云趾足
舍	音捨下及注同
車	音居鄭張本作輿從漢時始有居音
安夫	音符
其須	如字字從彡作水邉非
而比	毗志反下同
上附	時掌反
循	似遵反
濡	如臾反
皤	白波反說文云老人貌董音槃云馬作足横行曰皤鄭陸作燔音煩荀作波
翰	户旦反董黄云馬舉頭髙卬也馬荀云髙也鄭云白也亦作寒案反
媾	古豆反
而閡	五戴反
寇難	乃旦反下同
賁于丘園	黄本賁作世
束帛	子夏傳云五匹為束三𤣥二纁象隂陽
戔戔	在千反馬云委積貌薛虞云禮之多也又音牋黄云猥積貌一云顯見貌子夏傳作殘殘
有喜	如字徐許意反无妄大畜卦放此
䷖剥	邦角反彖云剥剥也馬云落也説文云裂也乾宫五世卦
人長	丁丈反下注皆同
激經厯反拂	附弗反
觸忤	五故反
以殞	于敏反
失處	昌呂反又昌預反
蔑	莫結反猶削也楚俗有削蔑之言馬云無也鄭云輕慢荀作滅
猶削	相略反或作消此從荀本也下皆然
辨徐音辦具之辦足上也馬鄭同黄云牀簀也薛虞膝下也鄭符勉反王肅否勉反道浸	子鴆反下同
稍近	附近之近
六三剥无咎	一本作剥之无咎非
以膚	方于反京作簠謂祭器
切近	如字徐巨靳反鄭云切急也
貫魚	古亂反徐音官穿也
駢頭	薄田反
得輿	音餘京作徳輿董作徳車
廬	力居反
覆䕃	於鴆反
所芘	本又作庇必利反又悲備反
